0BSFd001	0BSFd002	0BSFd003	0BSFd004	0BSFd005	0BSFd006	0BSFd007	0BSFd008	0BSFd009	0BSFd010	0BSFd011	0BSFd012	0BSFd013	0BSFd014	0BSFd015	0BSFd016	0BSFd017	0BSFd018	0BSFd019	0BSFd020	0BSFd021	0BSFd022	0BSFd023	0BSFd024	0BSFd025
sq130;size=2356;	59	23	16	0	78	3	0	227	66	0	289	48	17	243	79	24	525	264	28	0	334	25	8	0	0
sq131;size=2343;	74	39	99	0	52	1	0	66	176	0	45	139	69	98	237	106	182	272	106	66	110	90	185	131	0
sq132;size=2286;	0	22	497	0	0	229	0	5	342	42	0	394	67	0	3	76	0	0	2	377	0	98	4	128	0
sq133;size=2281;	27	47	115	0	77	153	0	142	119	138	70	72	111	15	67	179	44	92	104	326	78	87	85	133	0
sq134;size=2279;	63	90	140	0	81	558	0	7	98	1	2	35	180	9	40	102	43	128	347	155	20	105	18	57	0
sq135;size=2270;	0	26	433	0	0	104	0	0	64	0	1	393	23	0	27	90	0	1	14	278	0	165	11	640	0
sq136;size=2269;	28	55	142	0	77	161	0	38	122	0	93	71	84	87	178	142	75	63	129	530	53	58	46	37	0
sq137;size=2239;	119	158	212	0	117	0	0	38	197	0	16	113	118	68	109	84	139	173	153	133	54	74	62	102	0
sq138;size=2234;	0	45	280	0	1	308	0	1	362	0	27	428	159	0	124	77	0	11	32	226	0	22	0	131	0
sq139;size=2194;	35	29	92	0	46	129	0	72	125	48	80	112	96	43	59	176	75	65	35	122	175	186	164	230	0
sq140;size=2179;	73	2	16	0	107	0	0	326	8	0	411	4	8	552	27	18	168	12	5	0	201	0	236	5	0
sq141;size=2157;	0	0	177	0	0	290	0	1	16	0	27	178	114	0	10	54	0	4	15	841	0	232	0	198	0
sq142;size=2155;	23	45	171	0	27	0	0	3	80	0	14	80	0	119	217	174	77	461	287	0	0	19	61	297	0
sq143;size=2150;	106	52	128	1	91	1	0	260	107	0	335	45	35	237	156	43	165	73	23	3	133	21	125	10	0
sq144;size=2142;	4	43	673	0	0	0	0	1	237	0	66	218	40	0	104	53	0	41	31	442	0	26	2	161	0
sq145;size=2112;	37	52	132	0	104	3	0	135	90	0	130	59	126	30	92	142	44	82	104	240	135	99	106	170	0
sq146;size=2098;	98	3	0	0	106	0	0	122	6	0	816	4	84	224	2	1	99	4	2	0	368	8	150	1	0
sq147;size=2090;	34	110	250	0	47	95	9	42	94	117	28	40	96	4	32	85	10	14	41	611	25	224	17	65	0
sq148;size=2083;	79	240	802	0	0	0	0	1	169	76	99	424	17	0	58	10	0	9	14	57	0	0	6	22	0
sq149;size=2074;	75	139	202	0	112	50	0	58	104	0	79	76	26	7	56	152	44	106	132	199	177	21	138	121	0
sq150;size=2070;	90	1	1	1	68	0	0	300	18	0	544	14	22	344	13	17	156	21	10	0	344	0	106	0	0
sq151;size=2069;	67	52	116	0	84	3	0	206	223	19	96	63	63	135	186	52	161	112	81	0	101	35	157	57	0
sq152;size=2024;	46	37	89	0	41	0	0	351	124	0	80	80	111	125	146	51	64	22	35	40	198	87	214	83	0
sq153;size=1967;	34	31	157	0	34	0	0	11	164	0	70	100	34	51	189	86	165	242	93	27	66	94	114	205	0
sq154;size=1950;	32	9	9	0	70	0	0	137	127	0	77	56	47	175	207	26	345	272	61	0	174	19	94	13	0
sq155;size=1907;	37	65	29	0	39	0	0	21	113	60	3	28	167	64	133	217	96	287	350	4	42	49	63	40	0
sq156;size=1899;	36	14	110	0	127	67	0	120	104	0	28	52	20	111	108	46	267	395	184	0	80	8	14	8	0
sq157;size=1890;	0	0	0	0	0	234	0	0	0	1649	0	0	0	1	0	0	0	0	0	1	0	0	0	5	0
sq158;size=1885;	63	14	30	0	91	0	0	240	75	107	144	46	70	197	162	31	162	66	72	0	143	16	147	9	0
sq159;size=1861;	2	27	274	0	0	185	0	1	34	0	0	248	32	0	17	55	0	3	25	437	0	95	3	423	0
sq160;size=1853;	25	50	68	0	21	314	0	65	104	0	7	27	492	0	7	214	0	13	16	76	65	189	23	77	0
sq161;size=1847;	42	72	153	0	185	3	2	23	110	0	59	95	21	12	45	258	14	169	157	95	85	136	1	110	0
sq162;size=1813;	11	50	120	0	16	48	0	5	101	0	0	37	487	0	2	168	0	6	12	24	0	528	2	195	1
sq163;size=1807;	35	24	33	0	67	0	0	51	94	245	10	70	65	206	241	41	155	90	54	0	90	74	106	56	0
sq164;size=1805;	19	50	67	0	61	2	0	153	227	0	18	68	110	58	121	52	125	73	64	3	310	48	105	71	0
sq165;size=1797;	87	103	191	0	38	74	0	15	81	76	16	86	26	20	35	82	37	34	36	168	167	179	79	167	0
sq166;size=1771;	71	118	150	0	62	183	0	46	118	0	100	202	63	0	70	65	9	60	16	17	20	9	122	270	0
sq167;size=1763;	114	20	3	0	344	2	0	71	16	0	49	7	47	73	67	87	127	198	167	0	55	0	315	1	0
sq168;size=1755;	187	84	7	0	144	0	0	208	66	0	62	38	14	51	101	33	246	171	46	0	146	7	130	14	0
sq169;size=1751;	134	52	153	0	96	33	0	222	91	0	41	48	88	186	130	28	134	70	27	0	87	6	118	7	0
sq170;size=1749;	85	95	96	0	164	100	0	27	118	0	19	45	17	40	36	199	91	182	203	69	33	10	58	62	0
sq171;size=1720;	33	50	147	0	35	0	0	69	151	0	80	120	68	32	69	75	53	93	76	111	104	93	153	108	0
sq172;size=1711;	37	33	83	0	44	263	0	71	96	164	20	54	15	34	89	43	152	35	28	98	155	47	93	57	0
sq173;size=1710;	25	3	3	0	27	0	0	318	15	0	580	6	18	259	10	13	42	17	11	0	259	6	98	0	0
sq174;size=1709;	10	2	5	0	39	0	0	251	28	0	240	11	18	387	48	6	192	41	4	0	349	3	75	0	0
sq175;size=1704;	6	15	79	0	0	46	75	0	24	60	4	5	808	0	0	36	0	0	1	2	0	465	0	78	0
sq176;size=1698;	39	101	44	0	27	0	0	13	115	0	0	34	325	19	86	203	8	170	280	0	6	135	24	69	0
sq177;size=1683;	1	22	32	0	15	269	78	6	52	0	4	29	233	1	18	252	4	16	163	87	0	294	2	105	0
sq178;size=1672;	28	1	4	0	20	0	0	241	18	6	626	17	57	205	8	5	43	19	9	0	264	12	88	1	0
sq179;size=1670;	2	11	16	0	2	0	0	6	48	311	3	12	38	41	44	27	6	9	2	858	15	98	14	107	0
sq180;size=1666;	3	22	26	0	2	0	34	13	96	286	6	17	127	0	7	357	0	1	121	192	0	257	0	99	0
sq181;size=1662;	75	8	62	0	70	212	0	128	92	0	27	20	15	141	170	31	160	87	37	0	162	17	141	7	0
sq182;size=1651;	41	28	51	0	46	0	0	51	77	1	49	34	18	149	190	68	267	189	285	0	73	2	21	11	0
sq183;size=1626;	37	53	60	0	109	0	0	29	111	0	16	58	3	14	36	239	40	237	535	0	1	26	13	9	0
sq184;size=1626;	30	25	96	0	64	22	0	56	79	49	23	46	51	11	21	75	26	40	68	395	82	74	94	199	0
sq185;size=1624;	5	8	93	0	13	2	0	5	89	47	0	3	43	11	49	34	18	25	72	904	7	60	14	122	0
sq186;size=1614;	46	1	0	0	43	0	0	179	4	0	560	0	17	284	16	10	117	28	1	0	194	0	114	0	0
sq187;size=1614;	1	3	7	0	6	0	0	4	49	0	16	35	12	32	111	188	105	412	534	0	0	3	47	49	0
sq188;size=1612;	136	25	32	0	97	0	0	200	80	0	96	31	0	249	210	21	173	75	30	0	74	0	79	4	0
sq189;size=1603;	65	9	4	0	41	0	0	166	70	2	132	27	19	131	106	19	310	62	48	50	257	12	70	3	0
sq190;size=1597;	5	13	125	0	40	0	0	12	61	48	12	15	24	14	76	226	29	70	101	586	14	70	10	46	0
sq191;size=1593;	19	38	50	0	27	183	0	11	89	312	29	23	183	20	25	202	18	73	127	4	15	103	10	32	0
sq192;size=1592;	160	48	102	0	158	0	0	46	72	1	0	106	0	144	88	48	139	253	86	0	0	0	86	55	0
sq193;size=1591;	36	3	8	0	58	0	0	169	45	0	122	28	24	182	120	17	344	226	20	0	154	28	7	0	0
sq194;size=1588;	75	8	21	0	39	0	0	190	14	394	253	50	91	79	120	24	77	12	56	2	19	17	44	3	0
sq195;size=1582;	61	57	17	0	84	0	0	156	95	0	105	47	1	130	73	34	212	99	37	0	247	21	95	11	0
sq196;size=1568;	89	43	9	0	21	0	0	105	105	0	105	38	13	128	143	38	278	145	94	0	164	0	49	1	0
sq197;size=1566;	25	28	108	0	23	13	0	3	12	0	20	60	488	15	4	104	0	2	7	46	0	399	29	180	0
sq198;size=1558;	36	40	90	0	64	261	0	66	92	139	33	54	22	16	35	113	29	48	46	116	100	22	55	81	0
sq199;size=1549;	9	23	4	0	28	0	0	0	45	0	0	32	4	156	238	100	191	481	183	0	6	7	9	33	0
sq200;size=1540;	93	99	128	0	184	0	0	26	82	0	51	231	0	11	13	9	25	33	22	0	12	1	414	106	0
sq201;size=1511;	16	135	312	0	76	47	0	38	98	0	0	121	0	14	1	23	6	26	20	71	60	95	16	336	0
sq202;size=1508;	56	43	21	2	126	55	0	69	99	0	5	45	8	177	73	162	72	138	183	0	113	20	30	11	0
sq203;size=1483;	22	0	0	0	0	0	0	3	1	0	1	0	1	0	0	0	0	0	0	1454	0	0	0	1	0
sq204;size=1476;	0	79	19	0	48	35	37	17	103	4	0	4	0	0	30	768	0	22	238	7	2	51	0	12	0
sq205;size=1469;	2	18	45	0	23	0	0	6	113	0	0	13	128	0	6	650	0	0	95	3	0	341	0	26	0
sq206;size=1464;	50	90	19	0	58	0	0	77	162	0	86	31	0	54	80	182	60	83	83	0	15	74	195	65	0
sq207;size=1444;	42	11	41	0	63	0	0	67	91	34	153	89	36	81	87	47	87	116	72	59	165	12	71	20	0
sq208;size=1437;	0	3	17	0	11	0	0	0	62	570	32	76	26	16	38	181	4	48	190	51	0	53	4	55	0
sq209;size=1429;	0	0	5	0	15	0	0	31	71	0	35	44	28	31	102	227	99	217	315	116	36	16	30	11	0
sq210;size=1421;	40	60	89	0	0	1	0	0	48	0	360	122	250	1	68	81	0	44	174	4	0	21	0	58	0
